"Sign In","Entrar"
"Create an Account","Criar Conta"
"Search entire store here...","Digite aqui o que você procura"
"Get %1 off your first order. Use coupon %2", "Ganhe <strong class='promo-value'>R$10,00</strong> de desconto no seu primeiro pedido. Utilize o cupom <strong class='promo-discount'>DESCONTO10</strong> "
"Add to Cart", "Comprar"
"Enter your name","Digite seu nome",
"Enter your email address","Digite seu e-mail",
"I agree with the Privacy Policy","Estou de acordo com a política de privacidade",
"register","Cadastrar",
"US$","R$",
"This is a required field.","Este campo é obrigatório",
"Register in our","Cadastre-se na nossa",
"Sort By","Ordernar por",
"Position","Posição",
"Product Name","Nome",
"Price","Preço",
"Shopping Options", "Filtros",
"Search results for:", "Resultado de busca por:",
"My Wish List","Minha Lista de Desejos",
"You have no items in your wish list.", "Você não tem nenhum item em sua lista de desejos.",
"We can't find results for", "Não encontramos resultados para",
"What should I do", "O que devo fazer?",
"Now Shopping by", "Filtrando por",
"Clear All", "Limpar tudo",
"Category", "Categoria",
"Show", "Mostrar",
"per page", "por página",
"Shop By", "Filtrar por",
"Regular Price", "Preço",
"Details", "Detalhes",
"More Information", "Mais Informações",
"In stock", "Em estoque"
